link,name,price,avg_rating,number_ratings,description
https://www.airbnb.com/experiences/1216588?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,The Flavors of Little Levant and Little Yemen in Bay Ridge,78 ,,0,"It will be an afternoon of treats and sweets in Brooklyn’s Bay Ridge as we make our way through Little Levant and Little Yemen: Lebanese manakish, Middle Eastern shawarma and toum, cheesy pide and chocolate baklava from Turkey, spanakopita from Greece, sweets and unique mastic ice cream plus lots more. It’s a veritable cornucopia of food so bring your appetite; you won’t leave hungry, and you will leave happy!\u003cbr />\u003cbr />I always try to customize the tour depending upon the interests of the group. For example, if enough folks want to check out an awesome Middle Eastern gift shop, we can take a few minutes to scope it out.\u003cbr />\u003cbr />Please note:\u003cbr />I offer three other delicious food tours in NYC; they’re currently listed on consecutive days in the calendar. Check out:\u003cbr />\u003cbr />• “Exploring Eastern European Food in Little Odessa” at airbnb.com/experiences/380236\u003cbr />• “Snacking in Flushing – From Anhui to Zhejiang” at airbnb.com/experiences/700707\u003cbr />• “Ethnic Eats in Elmhurst” at airbnb.com/experiences/1215456\u003cbr />\u003cbr />If there’s one that sounds especially delicious but isn’t scheduled for a day that works for you, don’t hesitate to reach out to me. Click the Contact Host button below – I can probably reschedule it for a day that does!"
https://www.airbnb.com/experiences/3674134?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,"Terrarium Workshop, Sip and Plant",110 ,,0,"Escape the bustling cityscape of New York and immerse yourself in a lush, tropical paradise with our Wardian case terrarium workshop. Step into the world of botanical wonder, where you can create your very own self-sustaining ecosystem with ease while enjoying your favorite alcoholic and non-alcoholic drinks, and indulging in delicious snacks – all included in the workshop price.\u003cbr />\u003cbr />Gardening has been proven to reduce stress and boost well-being. Escape the daily grind and unwind in a tranquil green oasis. Our knowledgeable instructors will not only guide you through the process but also share insights about plant care, the fascinating world of tropical flora, and the importance of these ecosystems.\u003cbr />\u003cbr />Join us for a Wardian Case Terrarium Workshop and experience the beauty of nature without leaving the heart of New York City. Whether you choose a cozy corner of our studio or your office space, we're here to guide you on a journey into the world of tropical wonder. Book your workshop today and let the green magic unfold!\u003cbr />\u003cbr />Knowledge required\u003cbr />No green thumb needed!\u003cbr /> \u003cbr />What you'll get\u003cbr />Wardian Case (Terrarium Jar)\u003cbr />Tropical Plant\u003cbr />Fresh Moss\u003cbr />Soil (lava rocks, and sand)\u003cbr />Peat Moss\u003cbr />Sphagnum Moss\u003cbr />Activated carbon\u003cbr />Rocks (gravel and pebbles)\u003cbr />Terrarium Landscaping Tools\u003cbr />Burlap\u003cbr />Scissor\u003cbr />Wooden stick\u003cbr />Cleaner\u003cbr />Decorations\u003cbr />\u003cbr />Alcoholic Drinks\u003cbr />Non Alcoholic Drinks\u003cbr />Snacks"
https://www.airbnb.com/experiences/3623131?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=0eaf44d1-67a1-4ffa-a17c-358a50807443&searchId=8e18fa11-fbce-42f3-bc6f-b64337a542cf&sectionId=932113b9-fd5f-453b-b031-3805bc80ca47,Teen Vintage Tour With Nyc Personal Stylist & Photoshoot,459 ,,0,"Embark on a retro adventure like no other with our Teen Vintage Tour! Calling all fashion-forward teens who crave a taste of the past and a glimpse into the glamorous world of vintage fashion.\u003cbr />\u003cbr />Join us as we journey through 3-4  hidden gems and quirky boutiques, uncovering treasures from decades gone by. From funky '70s threads to classic '90s grunge, our curated tour will introduce you to the eclectic world of vintage fashion, where every piece has a story to tell.\u003cbr />\u003cbr />As a personal stylist I will help you transform your vintage finds into effortlessly chic looks that reflect your unique personality and style. Whether you're channeling retro vibes or putting a modern twist on a classic piece, I will guide you every step of the way.\u003cbr />\u003cbr />And what's a fabulous fashion makeover without capturing the moment? Say cheese as our professional photographer snaps away, immortalizing your newfound style against iconic backdrops that will make your IG feed pop!\u003cbr />\u003cbr />Whether you're a vintage aficionado or new to the scene, this Airbnb experience promises an unforgettable journey through time and style. Book now and let the vintage adventure begin!\u003cbr />\u003cbr />The experience:\u003cbr />-Personalized style development zoom call session\u003cbr />-Review eras, colors, shapes and textures that conform to your style.\u003cbr />-Create a mood board and outfits to assist us in our shopping tour.\u003cbr />-Creating 2 styled fashion look to photograph"
https://www.airbnb.com/experiences/4466692?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Super stylish walking tour,60 ,,0,"Join me for a walking tour in the most famous department stores in the world! I’m so excited to have you on board!  Experience the most famous fashion brands and gain unique design insights from most of the world’s beloved brands. \u003cbr />\u003cbr />You will start your fashion tour in Bloomingdales, one of the most important deparment stores  known for its originality and fashion curation. Bloomingdales offers a distinctive product mix including contemporary emerging brands premium luxury designers  private labels , beauty, home and more! You will love it \u003cbr />\u003cbr />You will continue your fashionable walking tour to another magnificent deparment store Bergdorf Goodman a New York landmark since 1901. Bergdorf Goodman Represents the global pinnacle of style service and modern luxury . The iconic store is located in 5th and 58th street is a must stop in NYC \u003cbr />\u003cbr />Your last destination will be Saks Fifth Avenue New York City’s most renowned high end deparment store since 1924. They offer 10 Floors of  fashionable goods and much more. Every floor is like walking into paradise! Don’t miss this opportunity to experience fashionable moments. \u003cbr />\u003cbr />Every floor will be explored!  Don’t wait to have fun! Make some shopping and enjoy the sales\u003cbr />\u003cbr />You will never be bored exploring these wonderful deparment stores!\u003cbr />\u003cbr />Please send me a message if you have any questions  I’m here to help!  Thank you!  And see you soon!"
https://www.airbnb.com/experiences/4863367?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Storybook Photo Shoot in Central Park,138 ,,0,"BOOKING: ***If you don’t see a time, date, or location that works with your schedule, Message Stacie through AirBnb for scheduling and location options.\u003cbr />\u003cbr />Story Book Animal Photo Sessions are a FUN private experience for couples, families,  besties, etc. While Stacie will be doing your animal makeup and will provide clean brushes and a few unique makeup items specific to creating Animal faces, please bring your own makeup for her to use. \u003cbr />\u003cbr />This is a styled photo session in Central Park! If you have any specific props you would like to bring for this photoshoot, you are welcome to bring props that represent you! Stacie also has a few props (like the chess board in the photos). Animal options: You can be a deer, fox, or bunny. You are welcome to bring your own storybook costume.\u003cbr />\u003cbr />This is a private session; Price per person.\u003cbr />\u003cbr />Rescheduling: Only allowed due to weather.\u003cbr />\u003cbr />What to wear: You can dress your animal's color theme and Stacie available to consult outfits.\u003cbr />\u003cbr />Posing: expect both candid prompts & posed prompts from me. \u003cbr />\u003cbr />Photos: You’ll receive an online gallery of 10 edited high resolution photos 1 week after your session; I do not send Raw or unedited photos. More Photos are available for purchase at $10 a photo."
https://www.airbnb.com/experiences/3482610?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,SoHo Photo Shoot,230 ,5,2,"Feel free to request any other TIME/DURATION/LOCATION not listed here. You'll get around 100 unedited photos + 10 edited ones of your choice per each person.\u003cbr />\u003cbr />We will take a walk around SoHo - one of the most iconic and fashionable neighborhoods in New York. We'll make several stops along the way for pictures. Please bring some comfortable shoes and sunglasses with you if it's sunny.\u003cbr />\u003cbr />If you have any additional concerns, feel free to reach out. I'd be more than happy to capture the most precious moments of your life and make this experience unforgettable!"
https://www.airbnb.com/experiences/700707?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Snacking in Flushing – From Anhui to Zhejiang,78 ,5,1,"On this tour of Flushing’s Chinatown, we’ll choose from a seemingly endless collection of authentic regional delights: Chinese crêpes, juicy dumplings, tasty noodle dishes, yummy dim sum, and distinctive snacks from the savory to the sweet. And as if that weren’t enough, we’ll finish with some amazingly rich Chinese influenced American ice cream! It’s a veritable cornucopia of food so bring your appetite; you won’t leave hungry, and you will leave happy!\u003cbr />\u003cbr />I always try to customize the tour depending upon the interests of the group. For example, if enough folks want to check out a massive Asian supermarket, we can take some time to scope it out – and I can show you a few surprises while we’re there!\u003cbr />\u003cbr />Please note:\u003cbr />I offer three other delicious food tours in NYC; they’re currently listed on consecutive days in the calendar. Check out:\u003cbr />\u003cbr />• “Ethnic Eats in Elmhurst” at airbnb.com/experiences/1215456\u003cbr />• “The Flavors of Little Levant and Little Yemen in Bay Ridge” at airbnb.com/experiences/1216588\u003cbr />• “Exploring Eastern European Food in Little Odessa” at airbnb.com/experiences/380236\u003cbr />\u003cbr />If there’s one that sounds especially delicious but isn’t scheduled for a day that works for you, don’t hesitate to reach out to me. Click the Contact Host button below – I can probably reschedule it for a day that does!"
https://www.airbnb.com/experiences/669902?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Kundalini Meditation & Breathwork,23 ,5,1,"This is a Kundalini Meditation & Breathwork class - all levels are welcome! We will be working to create more emotional balance, strengthen the nervous system and expand your capacity to feel more empowerment and clarity in your life."
https://www.airbnb.com/experiences/1207128?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Puerto Rican Cooking Class,115 ,,0,"In this class you gonna learn how to make that food from scratch. We will use fresh ingredients that will be in the recipe. This is a hand on class. Everyone will be involved. In this class your gonna learn how to make homemade Sofrito, Arroz Con Gandules and a chicken vegetable stew. If you are vegan no problem! You will be able to make it Vegan. This Class is so much fun and you will enjoy your meal after it’s done, \u003cbr />You will also take home your remainder. Everyone will make their own meals."
https://www.airbnb.com/experiences/1236643?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=0eaf44d1-67a1-4ffa-a17c-358a50807443&searchId=8e18fa11-fbce-42f3-bc6f-b64337a542cf&sectionId=932113b9-fd5f-453b-b031-3805bc80ca47,Private Yacht Charter NYC Skyline,"2,200 ",5,2,"Enjoy a Luxury Yacht Tour around Manhattan. This intimate experience is available for 6 passengers and can be customized to your needs. Relax as we depart the historic Englewood Boat Basin nestled in the picturesque Palisades on the Hudson. As we head south we pass the Cloisters and the  George Washington Bridge. Beneath the bridge we see the  small Red  Lighthouse from the children's book The Little Red Lighthouse and the Great Grey Bridge by Hildegarde Swift.  As we continue south the NYC Skyline stands so close with views only available to those lucky enough to be on their private yacht for the day. On to the Lady in the Harbor where we can stop to get the most amazing photos of the Statue of Liberty!! (#selfiewiththestatue)  From there the views of lower Manhattan and  One World Trade Center are unrivaled. As we turn to the East River and pass Governors Island we will pass directly under the Brooklyn Bridge and Dumbo to the right. Enjoy prearranged lunch and soft drinks as we meander past the United Nations. As we travel through the Harlem River past Yankee Stadium the historic bridges and the Big C on the Cliff, we arrive back where we started with an incredible view of the Palisades. Enjoy this 4 hour experience , take in the sights and relax. Optional start times and duration available.\u003cbr />Other things to note\u003cbr />Proper footwear please. Dress according to current weather conditions."
https://www.airbnb.com/experiences/4560533?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Private NewYorkCity Helicopter Tour from Westchester for Two,798 ,5,1,"Take your significant other on a once-in-a-lifetime adventure over New York City! Your private helicopter will whisk you from Westchester County Airport to Manhattan and back at sunset, day or night. Dazzle your guest with unforgettable aerial views of the iconic Manhattan skyline from above while cozying up to one another.\u003cbr />\u003cbr />Helicopters lift off from Westchester County Airport and reach NYC airspace in just a few minutes. On a 30-minute helicopter tour our skilled pilots will dazzle you with bird’s-eye views of Midtown Manhattan, Central Park, Empire State Building, Harlem, Yankee Stadium and the George Washington Bridge. (The 30-minute tour does not reach Lower Manhattan/Statue of Liberty area. Contact tour operator for upgrades.)\u003cbr />\u003cbr />Tours are offered daily between 10:00 AM and 8:30 PM (except on Thanksgiving Day, Christmas Day and New Year's Day). PLEASE INQUIRE ABOUT TIME SLOTS NOT LISTED.\u003cbr />\u003cbr />Maximum weight 250 lbs (113 kg) per person and 500 lbs (226 kg) combined in R44 helicopter.\u003cbr />\u003cbr />Tours are subject to favorable weather conditions and helicopter maintenance; if canceled due to these reasons, you will be given the option of an alternative date or full refund."
https://www.airbnb.com/experiences/278796?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Play with a Dolphin on Rockaway Beach,23 ,,0,"Play with a dolphin on the beach -- a mascot dolphin! We'll play games that I'll provide: 20 minutes of badminton, 20 minutes of frisbee, with a 20 minute intermission to take photos and drink ice cold beer together -- root beer! You can take as many selfies as you like! This is a novelty experience, for the tourist that has to do it all!\u003cbr />Other things to note\u003cbr />Please note: you'll play with someone in dolphin mascot outfit -- not a real dolphin."
https://www.airbnb.com/experiences/4696077?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Play tennis in \nNew York whit beautiful views and places,51 ,5,2,"PLAY TENNIS IN THE CITY IS ONE OF THE BEST EXPERIENCE YOU CAN HAVE IF YOU ARE FAN OF THIS AMAZING SPORT, YOU WILL DISCOVER THE BEST TENNIS COURTS OF THE CITY TO PLAY LIKE  TENNIS CENTER AT BILLIE JEAN KING US OPEN, CENTRAL PARK, HUDSON RIVER ETC.\u003cbr />YOU WILL HAVE A FUN MOMENT OF HITTING OR COACHING SESSION WHIT A BEUTIFUL VIEW OF THE CITY AND I WILL GIVE YOU A MINI TOUR AROUND THE COURT PLACES TO SHOW YOU WHICH YOU WILL LOVE IT.\u003cbr />NO MATTER WHAT LEVEL YOU ARE AND YOU DECIDE WHAT PLACE WOULD YOU LIKE TO PLAY. I PROVIDE TENNIS RACQUETS AND BALLS.\u003cbr />COME TO HAVE FUN AND AT THE END OF THE GAME YOU WOULD LOVE TO COME AGAIN TO PLAY."
https://www.airbnb.com/experiences/3656164?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Picture The City,110 ,5,2,"ENHANCE YOUR PHOTOGRAPHY SKILLS WITH GUIDED WALKS ENJOYING NEW YORK CITY HIDDEN GEMS LED BY A PROFESSIONAL PHOTOGRAPHER AND TOUR GUIDE!\u003cbr />\u003cbr />During this live hand-on workshop you will be taken on an unforgettable journey beyond-tourist-social media pics and capture the enigmatic energy that is The Greatest City in the world  with practical tips/tricks and take-aways that will make your photographic portfolio a permanent memory of your talent and vision. \u003cbr /> I am a professional documentary photographer/photojournalist, instructor, and licensed tour guide. I will personally guide you to my favorite locations including the iconic architecture and insider places off the tour map. Through my photographic experience honed for years with international news services and magazines I will teach you techniques to improve your shot composition, How to tell a story, contrast effects  and what to look for. By the end of the workshop you will have compiled your own album of places and people that showcase your own artistry.  For first timers or veteran travelers  or any lover of New York City and the art of photography.  \u003cbr /> *Tours are available in ENGLISH and SPANISH*"
https://www.airbnb.com/experiences/820923?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Peace of Heaven in the Great South Bay,184 ,,0,"Experienced and semi experienced kayakers are welcome. We launch from south Freeport, NY at the foot of Long Brach Avenue, into the bay amid tall golden grasses, bay houses, into the community of egrets, ospreys, ducks and swans. Crabs, oysters, fish and jellies below. Breathing in the energy of light, life and ocean fills a void  lacking in the civilized environment.\u003cbr />Other things to note Currently only solo tours are available, just you and an experienced guide.\u003cbr />Each tour is 2-3 hours depending on weather conditions and safety factors. There is no minimum time, you may return to land at any time."
https://www.airbnb.com/experiences/3777246?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Parisian Picnic in Central Park,110 ,,0,"Enjoy a decadent French cheese board with wine pairing picnic in a postcard-like decor. \u003cbr />• Taste a selection of different French cheeses, with a bakery fresh baguette, pastry, fruits and water.\u003cbr />• Wine bottle included.\u003cbr />• The picnic takes place in the famous Central Park, or in other gems locations I have discovered through out the years. \u003cbr />• We'll meet at the location where I'll have already install the picnic basket, blanket, and food board. \u003cbr />I'll explain you the food pairings and what regions the items come from, and we'll enjoy a moment together sharing gourmet food."
