link,name,price,description,total_rating,number_of_ratings
https://www.musement.com/us/new-york/museum-of-modern-art-moma-skip-the-line-tickets-3891/,Museum of Modern Art (MoMA) skip-the-line tickets,$30.00,"Avoid wasting any time in the ticketing line and enter The Museum of Modern Art right away, after the security check point. You'll get immediate access to some of the world’s most famous works of modern and contemporary art, including Andy Warhol’s Gold Marilyn Monroe and Vincent van Gogh’s The Starry Night, as well as pieces by Jasper Johns, Jackson Pollock, Elizabeth Murray, Cindy Sherman and several other great artists of our time. The collection also features photography, architecture, design, film, media and performance art. With shopping and dining options, MoMA offers a complete experience in the world of modern art that people of all ages can enjoy.
Your ticket also includes admission to MoMA PS1. Once a school building in Long Island City, the building showcases a variety of art exhibitions all year round, ranging from artist retrospectives to site-specific installations. The exhibition space also offers a full roster of music and performance programming.",4.7,442
https://www.musement.com/us/new-york/new-york-c3-r-by-citypass-r-147227/,New York C3® by CityPASS®,$104.00,"Save up to 37% on admission at 3 top attractions with New York C3® tickets. Your pass is valid for 9 consecutive days including the first day of use.
One-time admission to your choice of 3 attractions:
Empire State Building Observatory
Top of the Rock® Observation Deck
Ferry Access to Statue of Liberty and Ellis Island
9/11 Memorial & Museum
Edge at Hudson Yards
American Museum of Natural History
Circle Line Sightseeing Cruises
The Museum of Modern Art (MoMA)
Intrepid Museum
Guggenheim Museum",4.7,14
https://www.musement.com/us/new-york/six-flags-darien-lake-entrance-tickets-1-422867/,Six Flags Darien Lake entrance tickets,$44.70,"The Thrill Capital of New York State, is now open! With its signature collection of thrilling rides and attractions.Six Flags is excited to announce a massive new slide and the re-brand of our waterpark to Hurricane Harbor. At a staggering 60 feet tall Wahoo Wave is one of the tallest water rides in our waterpark and its one-of-a-kind water wall will boost the park’s already robust roster of heat-beating attractions. This adrenaline-packed adventure sends four riders into near-vertical motions to experience extended hang times and zero g-forces.
Hurricane Harbor is not included with admission to Darien Lake.",5,1
https://www.musement.com/us/new-york/the-beast-speedboat-ride-in-new-york-2881/,The BEAST speedboat ride in New York,$32.00,"Enjoy a thrilling ride on The BEAST, NYC's only high-speed boat ride that flies across the waters of New York harbor at 45 miles-per-hour!
The BEAST will take you all the way to Lady Liberty and back in just 30 minutes. Take in the jaw-dropping views of Midtown and lower Manhattan, and stop within 100 feet of the Statue of Liberty for a great photo opportunity.",4.3,6
https://www.musement.com/us/new-york/broadway-tickets-to-aladdin-345075/,Broadway Tickets to Aladdin,$90.00,"Experience a whole new world and discover the hit Broadway musical Aladdin!
From the producer who brought you The Lion King comes the timeless story of Aladdin, a thrilling new production filled with unforgettable beauty, magic, comedy and breathtaking spectacle. It's an extraordinary theatrical event where one lamp and three wishes make the possibilities infinite. Directed and choreographed by the Tony Award® winner Casey Nicholaw (The Book of Mormon, Something Rotten!), this ""Fabulous"" and ""Extravagant"" (The New York Times) new musical boasts an incomparable design team, with sets, costumes and lighting from Tony Award® winners Bob Crowley (Mary Poppins), Gregg Barnes (Kinky Boots), and Natasha Katz (An American in Paris).
See why audiences and critics agree, Aladdin is ""Exactly What You Wished For!"" (NBC-TV)",4.9,81
https://www.musement.com/us/new-york/six-flags-hurricane-harbor-new-jersey-admission-tickets-422972/,Six Flags Hurricane Harbor New Jersey admission tickets,$42.05,"At Hurricane Harbor there’s a lot to ‘WOW!’ about. Like, pulse-pounding water slides, relaxing lazy rivers, and family-friendly play areas – to name a few! Read on to get the inside scoop on information around the park for your next family visit, right at your fingertips, whether you’re planning a weekend trip or days of water park fun!
Embark on adventures, race down the slides, and cool-off in family-friendly play areas! Adrenaline junkies can’t resist the hair-raising, heart-pumping thrill rides.",,0
https://www.musement.com/us/new-york/one-world-observatory-tickets-38486/,One World Observatory tickets,$35.92,"The One World Observatory at Freedom Tower offers expansive 360-degree views in all directions of New York City. Special Sky Pod elevators take you up in just 47 seconds; but, the experience is more than pretty views - it's an interactive visual experience. With a standard ticket, you can skip the hassle of the box office line and proceed right to the top! Your visit includes:
Dynamically-generated world map that highlights hometowns of visitors
""Voices"" and ""Foundations"", two programs that describe the building's history and the people who constructed it
Virtual time-lapse video of the development of New York City’s skyline from the 1500s to present-day
Sky Portal, a 14-foot wide circular disc in the floor with a real-time high-definition video of the streets below
City Pulse, a ring of monitors with gesture recognition technology for close-up views and personalized recommendations",4.7,301
https://www.musement.com/us/new-york/broadway-tickets-to-the-lion-king-345073/,Broadway Tickets to The Lion King,$137.00,"Feel the joy. Feel the thrill. Feel alive... at The Lion King! Experience the unique and stunning artistry, the unforgettable music and the exhilarating choreography of this musical theater phenomenon. You'll be singing along and enjoying awe-inspiring productions ever brought to life on stage. Take part in a remarkable tale of hope and adventure, The Lion King has found its way into the hearts of millions. As The New York Times says, “There is simply nothing else like it.”
Winner of six Tony Awards® including Best Musical, Disney’s The Lion King showcases the talents of one of the most acclaimed creative teams on Broadway. Tony Award-winning director Julie Taymor reimagines the popular story using some of the theater’s most extraordinary stagecraft. The Lion King also features the exceptional work of Tony Award-winning choreographer Garth Fagan and a magnificent score crafted by the Tony Award-winning songwriting team of Elton John and Tim Rice. Now is the time to join the circle of life at The Lion King, The Award-Winning Best Musical, playing on Broadway eight times a week at the Minskoff Theatre.",4.9,60
https://www.musement.com/us/new-york/best-of-new-york-city-cruise-2737/,Best of New York City cruise,$52.00,"The Best of New York City cruise is the only sightseeing cruise in the Big Apple that completely circles the island of Manhattan. You’ll sail along all three rivers, pass under 20 bridges and see over 130 of the city’s most iconic landmarks including the always stunning, world-renowned Manhattan skyline.
You'll also catch views of One World Trade Center, the Brooklyn waterfront, Yankee Stadium, Statue of Liberty, Ellis Island and so much more! Sit back and relax as an entertaining tour guide recounts tales of NYC as you enjoy the best sightseeing experience the city has to offer.",4.7,31
https://www.musement.com/us/new-york/go-city-new-york-explorer-pass-4902/,Go City | New York Explorer Pass,$84.00,"Get admission to attractions and tours of your choice with Go City's New York Explorer Pass. Once purchased, the pass can be downloaded instantly to your phone or printed at home. You will receive a unique QR code that will grant you access to the selected attractions. Then you can immediately take it to any of over 90 participating attractions and tours. You can choose to visit 2, 3, 4, 5, 6, 7 or 10 different venues.

Want to go up the Empire State Building or step into One World Observatory? We've got you covered!

Every pass comes with free access to the Go City app. It's simple and convenient: browse the map and list of attractions for where to go next, check the instructions on how to get in or place reservations in advance where needed, and show your pass from your mobile device. Go City's Explorer Pass is the best option to save money and see the very best NY has to offer.

Some of the attractions you can visit with your pass are:

• Edge
• 9/11 Memorial & Museum
• American Museum of Natural History
• Central Park Full Day Bike Rental
• Statue Of Liberty and Ellis Island Ferry
• Empire State Building
• Guggenheim Museum
• Madame Tussauds New York
• The Museum of Modern Art (MoMA)
• One World Observatory
• Top of the Rock Observatory
... and many more! For the most up-to-date line-up please check out the guide.",4.6,135
https://www.musement.com/us/new-york/ground-zero-tour-with-optional-one-world-observatory-ticket-27971/,Ground Zero tour with optional One World Observatory ticket,$39.00,"Your tour will begin at St. Paul’s Chapel on Broadway, a building considered to be the oldest public building still in use. During the 9/11 attacks, the Chapel miraculously survived without even a single broken window and served as a sanctuary for refuge and shelter throughout the aftermath. Now, it stands as a place of tribute for those around the world to commemorate first responders and innocent civilians, containing mementos and paraphernalia of support for the city.
Next, you’ll walk to the Firefighter's 9/11 Memorial Wall located at FDNY Engine 10 and Ladder 10. There, you’ll see a memorial dedicated to the city’s 343 first emergency responders who risked their lives on the day of the attacks. From here, you’ll head towards the 9/11 Memorial. There, you’ll have the opportunity to see the new Freedom Tower and World Trade Center.
The final stop on the tour (accessible via optional upgrade) will include the One World Observatory or the Freedom Tower. This journey begins at the Welcome Center. You’ll hear stories of the people who built the tower through a video montage and travel in the “Sky Pod” elevator which shows you a virtual time-lapse of the city as you ascend. Watch the fascinating See Forever Theatre before you descend to the 100th floor to the main observation deck where you’ll have a panoramic view of New York City’s incredible skyline.",4.3,19
https://www.musement.com/us/new-york/the-museum-of-broadway-entrance-ticket-396053/,The Museum of Broadway entrance ticket,$46.82,"Visit the first-ever permanent museum dedicated to the groundbreaking moments in Broadway with your tickets to The Museum of Broadway. Discover the theater's pioneers that pushed creative boundaries, challenged social norms, and paved the way for those who followed.
Located in the heart of Times Square, The Museum of Broadway has teamed up with internationally renowned artists, designers, and theater historians to bring you an interactive, multi-floor experience to learn about Broadway's story using art and technology. Explore the history of the Broadway theaters through projection mapped videos, a timeline of Broadway told through immersive environments, and a behind-the-scenes look at the making of a musical.
Along the way, look for other surprises and sections of the museum that will excite fans young and old!",4.5,2
https://www.musement.com/us/new-york/statue-of-liberty-express-guided-cruise-from-downtown-nyc-266616/,Statue of Liberty express guided cruise from Downtown NYC,$29.00,"This cruise is ideal if you don't have much time to spend in New York, but you still want to admire one of its most iconic landmarks, the Statue of Liberty.
The Liberty Super Express sightseeing cruise will bring you from Downtown NYC, close to the Statue of Liberty. It will take only 15 minutes from the departure for you to experience the charm of Lady Liberty in all her glory. The whole cruise will last 50 minutes in total, during which an expert guide will give you a comprehensive overview of the sites you will encounter.
Once you are near the Statue of Liberty, the boat will slow down, giving you the chance to admire it from this privileged point of view, and to take the perfect photo.",4.7,3
https://www.musement.com/us/new-york/new-york-city-landmarks-sightseeing-cruise-with-tour-guide-10168/,New York City landmarks sightseeing cruise with tour guide,$44.00,"Sail by One World Trade Center, cruise feet away from the Statue of Liberty and enjoy breathtaking views of lower Manhattan on a New York City landmarks cruise! You'll glide right under the Brooklyn, Manhattan and Williamsburg Bridges on the East River before returning to Midtown Manhattan. An informed tour guide will narrate tales of the Big Apple as you sit back and relax in the comfort of a state-of-the art boat with indoor and outdoor decks.",4.7,11
https://www.musement.com/us/new-york/harbor-lights-cruise-2832/,Harbor Lights cruise,$54.00,"If you're looking for a romantic trip on the waters around New York City, hop on board the Harbor Lights Cruise. Set sail on the Hudson River right at sunset, when the last rays of warm light leave the city, passing the new Hudson Yards, Chelsea Piers and One World Trade Center. Circle around the tip of southern Manhattan and cruise only a few feet away from the majestic Statue of Liberty.
This evening tour aboard one of NYC's state-of-the-art boat is an unforgettable experience. Get your cameras ready as you'll be in the perfect setting for the best photo opportunities of your life. You won't miss anything as your entertaining tour guide narrates the story of New York City as you sit back and relax in comfort and class!",4.4,23
https://www.musement.com/us/new-york/legoland-r-new-york-admission-tickets-2-404114/,LEGOLAND® New York admission tickets,$79.00,"AWESOME AWAITS at LEGOLAND® New York Resort! Ride, splash, and build your way through seven themed lands at the ultimate LEGO® theme park destination!
Transform into a minifigure on the world premiere LEGO Factory Adventure Ride, master the art of Spinjitzu on NINJAGO the Ride, save the kingdom on the Dragon Coaster, get your official LEGOLAND Driver License in LEGO City and explore cities built out of millions of bricks in Miniland.
The park spans over 150 acres and offers many rides and attractions, so there will be no shortage of fun and adventure for the whole family!",,0
https://www.musement.com/us/new-york/fotografiska-new-york-admission-tickets-with-drink-option-224835/,Fotografiska New York admission tickets with drink option,$20.00,"Fotografiska New York is the new contemporary museum of photography, art and culture in midtown's Flatiron District. It’s a destination to discover the world’s best photography, live events, food and beverages, and surprising new perspectives.
The vibrant atmosphere at Fotografiska is unlike any other New York museum — it is open late every night, music is playing throughout the floors, and you can sip drinks from coffee to wine throughout the museum and inside the exhibition galleries.
Fotografiska is an authentic New York experience that was named the 2022 Winner of “Best New Culture Destination of the Year in North America” by the Leading Culture Destinations Awards.
Fotografiska produces an entire museum of special exhibitions that rotates seasonally and spans various genres. The mission of the museum is to inspire a more conscious world through the art of photography.
With locations in Stockholm, New York City, Berlin, Shanghai, and Tallinn, Fotografiska is the premier global gathering place for photography and culture.
Choose Option 1 for the General admission. Go for Option 2 for the General admission with a drink included.",3,1
https://www.musement.com/us/new-york/fast-track-4-hour-statue-of-liberty-and-ellis-island-tour-27965/,Fast track 4-hour Statue of Liberty and Ellis Island tour,$79.00,"Join this award-winning tour of two of New York’s biggest and best landmarks: the Statue of Liberty and Ellis Island.
With your NYC guide, you’ll board a ferry bound for Liberty Island. Don’t worry as you’ll have your special-access ferry tickets ready when you meet your guide at Castle Clinton. On the ride over, your guide will tell you where you can get the best shots of both the New York skyline and the Statue of Liberty.
Once you arrive at Liberty Island, your guide will show you around, sharing how the monument was built, what you expect to see in the museum, and more. Enjoy the Statue of Liberty Museum at your leisure. Then hop back on the ferry for your next stop: Ellis Island.
Millions of immigrants passed through this island between 1892 and 1954. Your guide will regale you with the stories of these courageous individuals, highlighting the significance of the island and notable monuments such as The Wall of Honor. You'll also get tips for visiting the Ellis Island National Museum of Immigration, helping you plan your time so you see the exhibits that matter most to you.
This tour is perfect for history buffs, first-time visitors, and even locals who want to get to know their city in a new way. Come see why this tour was ranked in the top three global cultural experience by travelers!",4.6,72
https://www.musement.com/us/new-york/9-11-memorial-tour-with-priority-entrance-museum-tickets-286121/,9-11 Memorial tour with priority entrance museum tickets,$62.10,"Get a sobering and eye-opening experience in the Big Apple and explore the 9/11 Memorial and Museum with an expert local guide. See the areas tranquil landmarks around the World Trade Center that featured so poignantly in news reports after the attacks.
You’ll start out at St. Peter’s Church from where you walk over to St. Paul’s Chapel with a more personal insight into the drama that unfolded here. This was where families and friends came to pray, offer support and await news in the immediate aftermath of the attacks; as testified by the hand-drawn cards and memorials, personal memorabilia and photographs that still hang here. See the stainless steel memorial cross, the stunning 9/11 Memorial Pools, each one built in the footprint of one of the twin towers, and inscribed with the names of all those who perished in the attack. Your guide will take this time to give you a more personal account of the tragedy that unfolded here, taking you to the Fireman’s Memorial and the Survivor Tree to tell you the incredible stories of courage and loss that unfolded right where you stand.
You'll finally get to visit the 9/11 Museum is a very well-curated space, with artifacts salvaged from the event on display, alongside countless personal stories. It’s a very moving visit, best taken in at your own pace in silence.",4.8,5
https://www.musement.com/us/new-york/ground-zero-911-memorial-and-one-world-observatory-upgrade-option-331505/,Ground Zero 911 Memorial and One World Observatory Upgrade Option,$61.49,"A trip to NYC wouldn't be complete without a sobering visit to the World Trade Center site where the tragedy of 9/11 took place.
While booking, you will find a variety of options such us to explore the 9/11 memorial and its elegant pools, where you can learn about how the Freedom Tower was conceived and built. You can also choose the option to explore the 9/11 memorial and the 911 Museum. Moreover, you can select to get skip-the-line tickets for a speedy entry into One World Observatory, where you can ride the elevator to the 102nd floor to see breathtaking views of Manhattan and its gorgeous city skyline or even have a 9/11 memorial and Ground Zero private tour.",5,2
https://www.musement.com/us/new-york/9-11-ground-zero-walking-tour-st-paul-s-chapel-firefighter-s-memorial-wall-and-9-11-memorial-27952/,"9-11 Ground Zero walking tour: St. Paul's Chapel, Firefighter's Memorial Wall and 9-11 Memorial",$39.00,"Experience a 1.5-hour walking tour of Ground Zero and the National September 11 Memorial, led by a guide with a personal connection to the events. This unique perspective allows you to gain profound insights into the tragic yet heroic stories that unfolded on that fateful day.
By joining this tour, you will have the opportunity to explore the very site where the World Trade Center once stood and pay your respects at the solemn and beautiful National September 11 Memorial. For an enhanced experience, you can choose to upgrade your tour to include entry to the National September 11 Museum. By doing so, you will have the chance to delve into the museum's thought-provoking exhibits, which offer a comprehensive exploration of the events of 9/11 and their aftermath. It is recommended to pre-book your spot to guarantee availability, as this tour aims to create an intimate encounter with history, ensuring a truly moving experience.",4.9,3
https://www.musement.com/us/new-york/the-new-york-pass-by-go-city-with-100-attractions-24396/,The New York Pass by Go City with 100+ Attractions,$154.00,"Your New York adventure just got easier (and less expensive) with the sightseeing pass that offers access to more than 100 things to do, including the city’s most iconic activities and attractions. With access to many museums and locations, plus an informative free app to help you plan your itinerary, the New York Pass by Go City lets you spend more time exploring, instead of wasting your precious New York minutes in line.
How it works:
The New York Pass lets you enter attractions cash-free. Simply show your pass to the attendant at each attraction so they can scan it and let you in. Your pass is activated when you visit your first attraction, and then it's valid for the number of calendar days you select.
There's no limit to the number of attractions you can visit during that time frame, so you can see as many sites as you can fit in, racking up serious savings along the way. Just visiting an average of 3 attractions daily can save you up to 50%* off combined admission prices.
Activities and attractions:
You can visit as many attractions as you like during the duration of the pass, packing in 5 or 50 depending on your schedule and interests. The New York Pass gives you access to more than 100 great Big Apple sites. Many of the tours allow you to make reservations in advance with your pass so you can start planning even before you arrive in NYC.
2-day sample itinerary:
Day 1
• 1-Day Big Bus hop-on hop-off bus tour- USD 80
• Empire State Building- USD 51.17
• Edge - USD 50.08
Day 2
• 9/11 Memorial & Museum- USD 33
• New York Highlights Bike Tour- USD 74.67
• The Ride- USD 79
• Total cost: USD 367.92
The 2-Day New York Pass: USD 204
You save USD 163.92 or 44% off! (prices subject to change)
Top Attractions:
• 1-Day Big Bus hop-on hop-off bus tour: Uptown & Downtown loops
• Empire State Building Observation Deck
• Top of the Rock Observation Deck
• Edge Observation Deck
• One World Observatory
• Statue of Liberty and Ellis Island Immigration Museum (includes ferry and entry to museum)
• American Museum of Natural History
• Madame Tussauds New York
• Circle Line Sightseeing Cruises
• Central Park Bike Rental & Tours
Museums:
• Whitney Museum of American Art
• Museum of Modern Art (MoMA)
• Intrepid Sea, Air & Space Museum
• Solomon R. Guggenheim Museum
• Museum of the City of New York
And many more!
Tours:
• Radio City Music Hall Stage Door Tour
• Rockefeller Center Tour
• Madison Square Garden Tour
• Brooklyn Bridge Bike & Walking Tours
• THE RIDE theatrical experience
• Food on Foot Tours
• Wall Street Walks
• Queens Experience On Foot
• Holiday Market & Christmas Lights Walking Tour
• Greenwich Village Walking Tour
• Yankee Stadium Tours
And many more!",4.8,13
https://www.musement.com/us/new-york/the-edge-observation-deck-st-patrick-s-cathedral-and-moma-admission-tickets-347640/,"The Edge Observation Deck, St Patrick's Cathedral and MoMA admission tickets",$99.00,"Book your tickets to The Edge at Hudson Yards, New York City's newest observatory, the iconic St. Patrick's Cathedral and the Museum of Modern Art, home to the world's largest collection of modern and contemporary art.
With your admission ticket to The Edge at Hudson Yard's, you'll enjoy the 100-story jutting observation deck with a glass floor, bar and 360-degree views of NYC. You will then have the opportunity to discover the 160-year history of St. Patrick's Cathedral with your admission ticket and audioguide.
And finally, with your MoMA admission ticket, you'll have the chance to see unique masterpieces like Vincent van Gogh's 'Starry Night' and Andy Warhol's 'Gold Marilyn Monroe', along with works by Jackson Pollock, Jasper Johns, Cindy Sherman, Elizabeth Murray and many other great artists.",5,1
https://www.musement.com/us/new-york/broadway-tickets-to-mj-219793/,Broadway tickets to MJ,$107.00,"MJ is a thrilling new Broadway musical that takes audiences inside the creative process of the King of Pop, Michael Jackson. Featuring over 25 of Michael Jackson's best-known hits, the production invites us to rediscover the man in the mirror through his unforgettable music, choreography and theatricality.",4.8,35
https://www.musement.com/us/new-york/ground-zero-tour-with-optional-ticket-to-9-11-memorial-museum-27969/,Ground Zero tour with optional ticket to 9-11 Memorial Museum,$39.00,"Take a 90-minute guided tour of Ground Zero and the 9/11 Memorial and hear the stories of that tragic day from a local guide.
Hear firsthand accounts from your guides, who are New Yorkers with connections to the events. First, begin the tour at St. Paul’s Chapel. This is considered to be the oldest public building still in use, just one block away from where the 9/11 attacks took place. The Chapel serves as a landmark and place of tribute for mementos given by people across the world in support of NYC.
Next, stop at the Firefighter’s 9/11 Memorial Wall. Here, see the Engine and Ladder Company 10/10, the fire station at Ground Zero. Continue on to the 9/11 Memorial where you can pay tribute to those whose lives were lost in the World Trade Center.
The last stop on the tour will be the 9/11 Museum (accessible via optional upgrade). The guides will give you a preview of the museum and what to expect inside. Feel free to enjoy it at your leisure.",4.2,9
