link,name,price,avg_rating,number_of_ratings,description,keywords
https://www.airbnb.com/experiences/1100342?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=96101f26-db0f-4bc8-8ab1-9eee4df23b17&searchId=ccf4c5f4-145e-48a9-91bf-e40e90cd8087&sectionId=44999ff3-4004-4be4-b67b-d66562a0dc52,Bob's Manhattan Pizza Tour,65,4.98,117,"We're about to embark on one of the most important journeys of your life. A voyage to eat 3 of the top pizza slices in Manhattan.    This is a walking tour, so be prepared to walk approximately 1.5 miles. During the tour each guest will get to try a slice of pizza at each stop, including some of NYC's pizza hidden gems. Along the tour you will learn more about the area and we will point out some of best restaurants, bars, stores, and other attractions.    Check us out on social media: @bobspizzatour    Additional tour dates and times available by request!    OTHER THINGS TO NOTE  Weather is weather! Wear comfy shoes and dress appropriately for the weather!    Drinks are not included. Bring or purchase your own drinks along the way.     DIETARY RESTRICTION ACCOMMODATIONS  We can sometimes accommodate Vegan / Gluten free but this may incur an additional cost. Please reach out before booking!    LOCATION  Our tours are located in NYC's West Village a short subway ride from destinations such as Penn Station, Hudson Yards, the Empire State Building, and the World Trade Center.",weather ; walking tour ; restaurants ; stores ; attractions ; diETARY RESTRICTION ACCOMMODATIONS ; west village ; north yorkshire
https://www.airbnb.com/experiences/873918?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=96101f26-db0f-4bc8-8ab1-9eee4df23b17&searchId=ccf4c5f4-145e-48a9-91bf-e40e90cd8087&sectionId=44999ff3-4004-4be4-b67b-d66562a0dc52,Central Park Tricycle Tour,46,4.98,209,"------ NO tour for 1 person ------  Minimum needed 2 persons per reservation because it is private tour.  It is not sustainable to do tour for 1 person. I will not do tour for 1 person. So do not book if you are solo traveler. Thank you.  If you do not see availability it means i'm booked. But, not to worry, i have guides they can do tour for you. You pay them after the tour in cash.    This tour is best suited to the first-time visitors to Central Park.  I'll share my deep knowledge of Central Park, history, movie locations and celebrity homes. Stop at the most famous places and take pictures while i explain the significance. Enjoy 3 stops to go for a walk at the most beautiful spots: The Bethesda Fountain, Bow Bridge and Strawberry Fields.  In warm months you can also extend regular tour for second hour to see more of the park. Price is double and you can pay in cash for second hour. Just let me know beforehand if you want to extend for second hour.  Other things to note:  It is recommended that you book at the beginning of your vacation. In case of rain you can reschedule to next day. We do not conduct tours in the rain.   For those, who looking unique experience, it is not. It's a classic tour: history, sightseeing and fun.  No more than 3 pax allowed in tricycle.  No pick ups from hotels/Airbnb apartments.  Tour in Spanish, French, Italian available only in cash.  Dress warm in winter.","central park ; history ; movie locations ; celebrity homes ; regular tour ; rain ; tricycle ; airbnb apartments ; spanish, french"
https://www.airbnb.com/experiences/150648?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=5591d7ff-0e73-4ddf-90f3-6d8985771231&searchId=42ce9647-9b1b-47fb-9da8-5e1c24efb645&sectionId=c177fc47-35e6-43a0-8ee9-e7131eae0a49,Puerto Rican Cooking and Cocktails,161,4.98,121,"The first Airbnb Puerto Rican cooking class in NYC and the Island! 6 years teaching about Puerto Rico!     What we will do is cook authentic Puerto Rican foods, paired with an Island inspired cocktail. All made by you!   Salsa Music playing while delicious smells fill the air! All while learning about Puerto Rican Culture! I will teach you to make sofrito, which is a staple in every PR kitchen, as well as PR style rice and beans. Then, depending on your preference, we will make a variety of foods:       Apps: Guava  wings with Sofrito Mayo  Ensalada de cameron (shrimp salad)  Bacalaito (salted cod fritters)  Salad,Tostones and garlic sauce  Pastelitos (empanadas beef,chicken,cheese)  Alcapurrias (yuca/plantain fritters with beef or vegetarian)    Entrees: Jibarito Sandwich (crispy plantain sandwich, steak or chicken)  Mofongo (mashed plantains with garlic, chicken or shrimp)  Bistec Ensabollado (steak with onions)  Pollo Guisado Criollo with Rice (Stewed chicken in a vegetable sauce)  Garlic Rubbed baked chicken (pollo al horno)  Pasteles (banana leaf wrapped plantain/yuca flour, meat or veggie)    Dessert: Guava Pantella Cake with fresh fruit and many more. We also have more vegan/vegetaria  Other things to note  You can reach me via the gram for more pictures and questions! Please be on time for the class, due to time restraints  I can't go past the allotted time.",island! 6 years teaching! authentic Puerto Rican foods ; island inspired cocktail ; salsa music ; guava wings ; chicken cheese
https://www.airbnb.com/experiences/244023?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=031742ae-c760-4d1c-9d66-43aab4b745fe&searchId=f875ebf6-347c-421a-b33d-f55e2f31a5ed&sectionId=d6211bd6-4379-44e8-a967-a9be20e481b1,A Goodfella's Tour of New York City,58,4.98,49,"We will visit the Brooklyn and Queens sites where Henry and Jimmy lived, ate, drank, hung out, and brought about the early demise of many not so fortunate associates. We will be using the subway to get between locations, so you'll need a metro card with enough value for a few subway/bus rides.  Other things to note  We'll be using the subway, so you'll need a MetroCard with enough value for at least four rides. If subway construction makes our planned itinerary unrealistic, we will visit other locations instead.","queens sites; queensland and queens sites; henry and henry ; drank, hung out, and hung out ; metro card ;"
https://www.airbnb.com/experiences/143920?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=57b2776c-f7c3-4f13-a41c-bd6e8454b812&searchId=41928aa4-bd1f-4137-ac56-f1fd52786c74&sectionId=6938cd5c-c7a2-44ec-9095-8d5a27177e04,Sound Healing and Meditation Experience,184,4.98,127,"A one hour immersive sound journey to fully reset your senses and your soul. Experience gentle breathwork, overtone-rich sounds, vocalisation, and more to help you reconnect with your heart.    By addressing the energetic stressors inherent in NYC living our nervous and adrenal systems are given an opportunity to recuperate.  Gong meditations, a type of Sound therapy, have been around for thousands of years as a way of healing. Multiple tones and overtones build as it is played, creating layers of sounds which can be directly felt by those experiencing it.  nd emotionally it helps to quieten the mind. The gong is said to cut through the ego, leaving a person to be their authentic self. It can help us to come into our neutral, meditative mind.  The benefits one can get from being exposed to the tones of the gongs are numerous, yet vary considerably. Most of my clients have been noticing a major improvement in the quality of their sleep, a better ability to cope with stress, and a sense of familiarity with stillness and contentment.  Other things to note  Bring comfortable clothes.  I am also flexible on time during the day if you canât make the time listed on Airbnb, I can change it on the site for a time that work best for  you. Great for Groups, Corporate Teams,  Team Building.",one hour immersive sound journey ; gentle breathwork ; overtone-rich sounds ; vocalisation ; energetic stressors ; gong meditations ;
https://www.airbnb.com/experiences/832544?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=a60bb004-9323-4f42-a141-c48f2ac66c85&searchId=941cf844-af88-483a-8255-7b08e06eef56&sectionId=54ce7fa8-d4c0-464e-ae48-a7d3d099fde8,Reiki Healing Session in Central Park,275,4.98,44,"Each reiki session is for one hour for one person. For those of you who donât know what reiki is, in its simplest forms, it is a relaxing lying down meditation (10x more relaxing than an actual sitting meditation). The universe allows me to use myself as a vessel to let the divine energy flow through my hands to your body.     Weâll meet in Central Park to do the reiki session. Iâll provide a brief history and explain the benefits of reiki. You'll choose a spot under a tree where it feels good for you and weâll get started after you lie down on the mat in Shavasana.     You will feel heat and tingling sensations in different parts of your body. When I touch the problem areas, you will get more relaxed with an opening in that area. We will also do a \""chakra balancing\"" to get both your masculine and feminine energy bodies balanced removing any blockages or stagnancy you might be experiencing in your life.     Other things to note: Please donât cancel an hour before the start time. If you canât make it, cancel within 24 hours since booking. No refunds offered after 24 hours since you make your booking. Donât take someoneâs elseâ opportunity to heal.",reiki session ; lying down meditation ; central park ; history ; tingling sensations ; chakra balancing ; masculine energy bodies
https://www.airbnb.com/experiences/250241?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=44796828-c0df-4309-95ba-967f5eb6947d&searchId=e72b11ed-167b-47d4-b038-e7066f83feca&sectionId=e43ffeda-c498-4a35-80d5-36c5542f57f3,The Ultimate New York City Street Food Tour,65,4.97,733,"We will be exploring the world via street food in the one of the worldâs most diverse areas just 15-20 minutes from Midtown Manhattan.    We will be eating a lot. ALL food we order on the tour is included in the price!    In this neighborhood of Queens, carts and trucks come out with some of the most delicious food to be had in NYC.  Many places we visit are hole in the wall, hidden gems that aren't easily noticed if you were to walk through the neighborhood on your own.    These are places that we frequent and where we eat often and want to share them with you! We'll also share more information about the neighborhood, vendors and cuisines so you can learn more along with getting a great meal.     Often, the vendors will change by day, so each tour may be unique. Our journey may take you from Tibet to Mexico and more in between.     You will  have the opportunity to learn more about New York City from a native's perspective.     Itineraries can be tweaked for dietary restrictions. Come with an open mind, comfortable shoes, empty stomach and we'll take care of the rest!    Other things to note:    We will be walking about two miles outdoors with minimal seating or tables.",street food ; queens ; carts ; trucks ; delicious food ; tibet ; mexico ; new york city ; dietary restrictions
https://www.airbnb.com/experiences/972608?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=68bdb554-b339-4041-9694-e5f2c40cf4d7&searchId=885ac543-a5b1-4f6f-96c4-f1449b6fcbc3&sectionId=52cca717-b38f-4c47-9bb5-232dee5f1bfd,Vibrant Photoshoot in Times Square,54,4.97,122,"You will receive a preview link of all photos. You can select 1 complimentary high resolution images to be edited and purchase as many additional photos as you want!    Each additional photo costs: $20  To receive Unedited Gallery to download: $50    *Private Bookings Include: All Unedited Photos AND 15 Complimentary High Res. Photo Edits.*    It takes 4-7 days to recieve edits and 1 day to recieve unedited photos.    â¼ï¸You must book a private booking if you would like me to capture proposals, engagement photos, product shoots, book covers, and more. If youâre uncertain please message me and Iâll clarify. â¼ï¸      This will be a once in a lifetime 1 hour public group or private photoshoot shoot experience. The experience is fantastic for families, solo travelers, couples, children, and great for corporate teams. I create a relaxed environment for you to feel comfortable to play around infront of the camera. But dont worry, i have plenty tips and tricks to help you always look your best with poses.",unedited photos ; complimentary high resolution images ; private booking ; engagement photos ; product shoots ; book covers ; corporate teams ; public group photoshoot
https://www.airbnb.com/experiences/74748?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=68bdb554-b339-4041-9694-e5f2c40cf4d7&searchId=885ac543-a5b1-4f6f-96c4-f1449b6fcbc3&sectionId=52cca717-b38f-4c47-9bb5-232dee5f1bfd,New York Sandwich Tour,60,4.97,729,"Is a hotdog a sandwich?    Welcome to the New York Sandwich tour - created by the #1 reviewed host in NYC on Airbnb Experiences.    Join your fellow sandwich lovers on this fun, delicious, thought-provoking AND WARM food tour as we feast on amazing sandwiches in New York City.    Together with the 'Sandwich Squad' you will visit foodie destinations that only NYC locals know about as we debate the question \""is a hotdog a sandwich?\"" and answer it by eating different types of delicious sandwiches.    Ticket price is all inclusive of food. You will leave the experience FULL, but you won't eat an entire sandwich at each location. We like to share!     In addition to the delicious sandwiches, you will also hear stories about the history of the sandwich, and the people who make them. We'll also discover street art and learn about the history of New York too.    Come with an open mind, leave with a FULL stomach (and an answer to whether or not a hotdog, a burger or a taco is a sandwich).    Private tours available for corporate teams too. As experienced by Amazon, LinkedIn, Audible and more.    * Don't see a day/time that suits you? Ask me for a new time and I can try to accommodate.     **Sorry this tour is not for gluten-free or vegan diets. Vegetarians can be accommodated though!    ***Locations may be subject to change - not all locations in the video will be available.",new york sandwich tour ; sandwich lovers ; street art ; private tours ; corporate teams ; amazon ; chris ; Audible ; gluten-free
https://www.airbnb.com/experiences/4218000?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=5ede4bf8-0001-4f11-9d73-3cd9f37387d5&searchId=7f3a971f-a0a1-4920-912d-bf3bb2ba830e&sectionId=682e1afc-c097-460b-a047-d497557c9559,New York Bagel Tasting & Rolling Tour,64,4.97,97,"Visit three of New York's best bagel shops, where you'll eat bagels, cream cheeses, and sandwiches while learning how bagels became an iconic New York food!    Bite-sized tastings ensure you can taste a wide variety, ranging from the classic everything to the eye-catching rainbow bagel, all included in the tour price.    As we roll from one shop to the next, learn about the history and culture of bagels in New York. Pay attention - there's a quiz at the end!    On some tours, you'll even get the chance to roll and shape bagels yourself, learning traditional bagel making techniques from a New York bagel master.    Whether you're a seasoned bagel fan, a family looking for a fun and educational outing, or a first-time visitor to New York, your expert guide - Sam, Aidan, or Xander - will curate a quintessential New York City experience you won't soon forget!    BAGEL BAKING CLASS  Want to deepen your bagel knowledge even further? Check out our Artisan Hands-on Bagel Baking Class ($150), offered Friday's at 6pm and Sunday's at 3:30pm. This interactive class is a deep dive into the craft of authentic making authentic New York-style bagels!    GROUP & PRIVATE EXPERIENCES  A private class or tour is perfect for a unique birthday outing, lively âBageloretteâ party,  impactful team-building session, or for an aspiring industry professional. Customized to fit your itinerary. Inquire for details.",artisan hands-on bagel baking class ; new york-style bagels ; birthday outing ; team-building session ; bespoke itinerary ;
https://www.airbnb.com/experiences/438902?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=5ede4bf8-0001-4f11-9d73-3cd9f37387d5&searchId=7f3a971f-a0a1-4920-912d-bf3bb2ba830e&sectionId=682e1afc-c097-460b-a047-d497557c9559,The Brooklyn Sandwich Tour,64,4.97,136,"Discover the delicious sandwich scene in Brooklyn!    On this experience we will eat our way through the sandwich scene of Williamsburg - a real foodie destination - as we stop at a three hole-in-the-wall destinations that you won't find in a typical guide book.    Along the way we will hear stories about the historic neighborhood of Williamsburg, and learn how it has evolved over the years (just like the sandwich has!), as we ponder the fun philosophical question \""what is a sandwich?\"".    This experience is ALL INCLUSIVE of food, and we can accommodate both vegetarians and carnivores, however this tour is not available for vegan or gluten-free folks. Sorry!    * Don't see a day/time that suits you? Ask me for a new time and I can try to accommodate.    ** Experience is available for private groups - inquire about a corporate team building event today!",sandwich scene ; newton ; restaurant chains ; vegetarians ; carnivores ; corporate team building event ; breakfast buffet
https://www.airbnb.com/experiences/262429?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=3e5c0aa3-088c-4916-9313-cf48aba06e7b&searchId=597d2331-e72c-461e-bb4a-e7e6be450f81&sectionId=f9856952-954e-479f-ac04-c59da751a55b,Village Pride Walking Tour,45,4.97,183,"Join us on this fun and informative LGBTQ History Walking Tour! On this tour around Greenwich Village, we will visit historic sites where revolutions began, riots were sparked, and history was made. We will see common threads within the LGBTQ generations who have lived life in New York City, sharing their stories throughout the tour. On this tour, learn more about individual stories of queer activists, and the major political and social movements that have shaped the LGBTQ community over time. Sites include the historic Stonewall Inn, Christopher Park, the NYC AIDS Memorial, and the LGBT Community Center.    Each tour will be approximately 2 hours and will cover about 1.5 miles of Greenwich Village. Please wear comfortable walking shoes. You may need an umbrella or water bottle, depending on the weather.","gay history walking tour; greenwich village; historic sites where revolutions began, riots were sparked, history was made ; new york city ; queer activists ; major political and social movements"
https://www.airbnb.com/experiences/263550?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=3e5c0aa3-088c-4916-9313-cf48aba06e7b&searchId=597d2331-e72c-461e-bb4a-e7e6be450f81&sectionId=f9856952-954e-479f-ac04-c59da751a55b,Making fresh pasta with the pros,124,4.97,77,"For your cooking classes at Red Inside, this menu represents a journey through the heart of Italian culinary tradition, tailored for those who wish to immerse themselves in the art of Italian cooking. Each dish, from the vibrant Mozzarella Caprese to the indulgent Gelato Affogato, has been meticulously chosen to showcase a range of techniques and flavors that define Italian cuisine. Participants will explore the simplicity and elegance of combining fresh ingredients in Mozzarella Caprese, master the art of pasta making with Agnolotti del Plin and Cavatelli al Pesto Rosso, and delve into the rich, bold flavors of Farfalle Nere al Salmone. The course culminates in crafting the perfect Gelato Affogato, a marriage of hot and cold that will enchant any dessert lover. This menu promises not just a meal, but an unforgettable culinary experience, steeped in the traditions and innovations of Italian cooking, perfect for enthusiasts eager to bring a piece of Italy into their kitchens.  Finally for the last hour, our guests will sit down in our cozy dining room and will be served everything prepared together.  Other things to note  We suggest to dress comfortably and arrive at least 10 minutes before the start of the class to have time to prepare and mingle with your fellow students a little.","cooking classes at red inside, this menu represents a journey through the heart of italian culinary tradition ; pasta making ; farfalle nére al salmone ; cozy dining room"
https://www.airbnb.com/experiences/1474583?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=96101f26-db0f-4bc8-8ab1-9eee4df23b17&searchId=ccf4c5f4-145e-48a9-91bf-e40e90cd8087&sectionId=44999ff3-4004-4be4-b67b-d66562a0dc52,Fall in Love with Brooklyn,19,4.97,195,"Discover two of NYC's most picturesque neighborhoods: Brooklyn Heights & DUMBO, in one epic tour!  Appreciate the legacy of beautiful Brooklyn Heights in the fight for liberty, social justice and unity and enjoy the art, culture and views of DUMBO.  This experience is great for singles, couples, families, and team building!    Some of the highlights include:    - Impressive architecture & history in America's 1st suburb  - The role Brooklyn played in American Independence  - The Brooklyn Heights Promenade with amazing, sweeping views of NY Harbor and Manhattan's skyline!  - Plymouth Church, \""Grand Central Terminal\"" of the Underground Railroad that helped runaway slaves escape   - Learn about influential people who called Brooklyn Heights home, past and present.  - Brooklyn Bridge Park, one of the most beautiful in NYC  - DUMBO secrets and street art  - Iconic view and photo spot of the Manhattan Bridge   - The epic story of the Brooklyn Bridge and the extraordinary woman behind it.    There will be many sweet photo opportunities on this tour and I am a skilled photographer, happy to capture some unforgettable pictures of you  :) I want this experience to be one of the highlights of your NYC visit. Appreciate the beauty and history of the Heights, the sights of DUMBO, make new friends and fall in love with Brooklyn!",Brooklyn Heights ; dumbo ; epic tour ; history ; american independence ; church ; underground railroad ; runaway slaves
https://www.airbnb.com/experiences/259740?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=14360057-058b-4163-ab0a-f726bcc5d8f0&searchId=0da25746-4218-45de-b7ec-5e9d16ffe4f8&sectionId=a327a493-fdbb-4aae-8e58-8415d75a137b,New York portrait experience,138,4.97,34,"If you want to take stunning pictures in the NYC , you got the right host ! We can take shots in the most iconic NYC landmarks:  Dumbo - Brooklyn Bridge , Central Park or even Times Square at night! I use magazine level photo equipment and outdoor studio Lightning to take photos that provide unique style with vivid colors , high contrast and high resolution.     This experience includes only one location for one hour of shooting with at least 20 edited  pictures.  Raw files (original  photos) are not included.   Outfit changes are encouraged !  Other things to note:  Please be sure to message me to discuss your desired location and ideas for the shoot.  Any others time can message me to see the availability.",stunning pictures ; dumbo ; newton bridge ; central park ; times square ; magazine level photo equipment ; outdoor studio lightning ; vivid colors ; high contrast
https://www.airbnb.com/experiences/120361?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=57b2776c-f7c3-4f13-a41c-bd6e8454b812&searchId=41928aa4-bd1f-4137-ac56-f1fd52786c74&sectionId=6938cd5c-c7a2-44ec-9095-8d5a27177e04,"Private Dance Experience -Salsa, Swing, Tango & Social dance",230,4.97,72,"Perfect for a fun date night, an intimate celebration, a new hobby or team-building! We will make sure it is not just a dance lesson, but a memorable dance experience!    We will meet for one hour private dance lesson in our beautiful  and cozy boutique dance studio in Brooklyn.  The experience includes a glass of wine or a local cocktail.  We will teach you the basic dance moves of the dance style of your choice so you can later enjoy a party in New York, dance at the wedding of friend or at a fancy gala night.      Brooklyn Dance Lessons was conceived with your comfort and privacy in mind (way before the pandemic arrived to change our lives). We believe that everyone learns faster and better when they donât share the dance floor. This means you get to own the entire studio for your lesson. Think of this as your much-needed me-time :)    The class will be held by me or one of my wonderful colleagues. We have the best teachers in New York :)    Let's dance!      PS. Let us know if it is a special occasion!   Additional services are available.",dance lesson ; private dance lesson ; boutique dance studio ; new york city ; fancy gala night ; me-time ; staff friendly
https://www.airbnb.com/experiences/3903437?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=ed26f160-a298-463e-b608-807b39a52033&searchId=b63405ec-e1a0-46f7-9478-dffabebe5474&sectionId=cb45931f-8017-4453-a642-ac676124c2e8,Central Park Pedicab Guided Tour,37,4.97,38,"-- NOTE: Minimum 2 People per Booking --    Our tour starts at an easily accessible pickup spot on W 58th Street and 7th Avenue in front of Petrossian.    The tour begins with the warm welcome from our team. As the tour enters the park from the South end, the tour guide will give a brief introduction of our famous city park and its' history.     The first celebrity apartments that we show is Lady Gagaâs Penthouse followed by Alex Rodriguez, and Keanu Reeves.     As the tour continues further,  our tour guide will point out the famous Plaza Hotel on fifth avenue and the ice rink. The tour will then head towards the north by passing Upper East Side and the Museum Mile.     The first stop for pictures is at Bethesda Fountain where guides will take pictures of visitors. It is followed by another stop at Cherry Hill where guides will give the visitors an opportunity to explore the famous Bow Bridge and take pictures at the Friends' fountain.     The tour will continue by exploring Strawberry Fields of John Lennon and his apartment at the Dakota. The tour will then head back to the south by covering Upper West Side, the bridge from movie Elf, Trump Hotel, and many more.     The tour is followed by a complimentary drop off to Times Square, Rockefeller Center or Fifth Avenue.",minimum 2 people per booking -- tour guide; 58th street and 7th avenue ; petrossian ; celebrity apartments ; lady gagaâs penthouse ;
https://www.airbnb.com/experiences/885043?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=120934c4-ce90-4538-ac15-dae02b27d77d&searchId=920d765a-dc55-45d4-9f17-00fb8b35e2f7&sectionId=aff7c83c-c7d9-4df6-9e51-95675616988d,"Hidden Gems, Great Structures, Fun Art",33,4.97,79,"Let's  tour some of NYC's greatest structures, hidden gems and public art.  Weâll learn about the fierce rivalries, personal triumphs and tragedies of the designers and builders as they set world records over and over again.  Weâll also see:  â¢\tBeautiful bridges that shattered records   â¢\tAmazing architecture, from traditional and classic to stunningly modern  â¢\tSee wonderful public art.  Sculptures and murals that range from classic & inspiring to playful & fun  â¢\tEnjoy parks and atriums that most tourists, even locals, have never seen    Contact me if you donât see a date or time that works for you.    What folks are saying:  â I am so happy to have found this tour. John is so knowledgeable and friendly!! The hours went by so quickly. I saw so many hidden treasures!!â  Karen, Los Angeles    âMy...walk... around lower Manhattan with John was like going on a walk with an old-time friendâ¦â  Yi-Ming, Singapore     âEven though I live in New York, I found out about a whole bunch of new places and things and stories that I never knew. Highly recommend this tour!â    Sam, Greenwich Village    \""really made the information come to lifeâ¦Wonderfulâ   Patricia, Upper West Side    â...a lot of fun.â   Ashley, Brooklyn          âWarm and funnyâ     âPassionateâ Yi-Ming       âUniqueâ Jim         ââ¦a fascinating walkâ  Stuart, UK",public art ; sculptures ; murals ; parks ; atriums ; tourists ; greenwich village ; maple syrup ; ice cream ; ice cream ; ice
https://www.airbnb.com/experiences/528247?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=a60bb004-9323-4f42-a141-c48f2ac66c85&searchId=941cf844-af88-483a-8255-7b08e06eef56&sectionId=54ce7fa8-d4c0-464e-ae48-a7d3d099fde8,Brooklyn Waterfront Bike Tour,41,4.97,158,"Take a bike tour of Brooklyn Bridge, Brooklyn Heights, Brooklyn Bridge Park and the DUMBO warehouse district. After a quick tour of City Hall area, we roll over the Brooklyn Bridge with stops at the Manhattan and Brooklyn towers, for the perfect photo ops of the gorgeous Wall Street skyline. While there, I'll share historical insights into the twin icons of New York City's East River: the Manhattan and Brooklyn Bridges. We'll continue on to the charming brownstone streets of Brooklyn Heights, where you'll see some of the most historic and luxurious homes dating back to the 19th century. After a stop at the beautiful Promenade, we'll zip through New York City's newest, most innovative and beautiful 85-acre waterfront playground, the Brooklyn Bridge Park (just opened in 2010). There will be stops and photo ops galore in the shabby-chic shipping and warehouse districts of DUMBO, Vinegar Hill and the Brooklyn Navy Yard. Youâll get a peek into the history of Brooklynâs maritime shipping industry that once thrived on these docks and cobblestone streets.  Other things to note  Novice bikers are welcome. Mostly bike paths and low-traffic, residential streets in Brooklyn. I take seriously my guests safety.    See Guidebook here:     https://abnb.me/YdMwxeQWwib\u003cbr />  Rain: If you wish to cancel due to rain, prior to an hour of departure, that is your discretion and I provide a full refund.","bike tour ; new york city bridge, new york city towers ; wall street skyline ; brownstone streets ; shabby-chic shipping and warehouse districts ;"
https://www.airbnb.com/experiences/269716?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=44796828-c0df-4309-95ba-967f5eb6947d&searchId=e72b11ed-167b-47d4-b038-e7066f83feca&sectionId=e43ffeda-c498-4a35-80d5-36c5542f57f3,"The Full-Day \""See It All\"" NYC Tour!",64,4.96,1849,"(PLEASE NOTE: If you need a date that's full or not on the calendar, please message us. We will do  our best to squeeze you in!)    Hi folks!  New York City is the greatest city in the world and I want you to have the greatest time ever! This is mostly a walking tour but we also take the subway and of course a gorgeous boat ride on the harbor to see the Statue of Liberty! Our tour is also great for groups & families.    Here is the itinerary:  This is a Full Day Tour. We cover a LOT!!    -Explore beautiful Central  Park    -See the magnificent & world famous Plaza Hotel    -Stroll along expensive & fancy 5th Avenue     -Magnificent architecture of St. Patrick's Cathedral ( we go INSIDE not just outside!)    -Rockefeller Center/NBC Studios    -Diamond District    -Times Square (the most exciting place in the world!)    -Lunch Break    -Freedom Tower    -9/11 Memorial    -Wall Street (NY Stock Exchange)    -Boat Ride Across scenic New York Harbor!    -Statue of Liberty/ Ellis Island views    -New York Skyline views    -Brooklyn Bridge views    We'll  also view movie & TV locations, stop for plenty of pictures, try to spot celebrities, and much more!",full day tour ; nyc stock exchange ; new york skyline views ; brooklyn bridge views ; movie & television locations ; new york city
https://www.airbnb.com/experiences/298126?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=44796828-c0df-4309-95ba-967f5eb6947d&searchId=e72b11ed-167b-47d4-b038-e7066f83feca&sectionId=e43ffeda-c498-4a35-80d5-36c5542f57f3,Sailing Tour New York with Brooklyn Sail,77,4.96,1500,"See amazing views of the city during this top rated sailing experience for up to six passengers! Join our friendly and knowledgeable captains and take fantastic photographs from the comfort of a 34â sailboat.    - Statue of Liberty  - Manhattan Skyline  - Ellis Island  - Brooklyn Bridge  - Freedom Tower  - Governors Island  - Seaport    Daily Times: 9:00am, 11:30am, 2:30pm, 5:00pm, 7:30pm.    All Group Sail and Private Sail times available: BKsail dot com @BrooklynSail      We have a full drink menu available: Champagne, White Wine, Rose, Beer, Hard Seltzer    Our qualified captains are knowledgeable, experienced, professional, and fun! We adhere to all USCG rules, and have all required safety equipment on board.    ****  WEATHER  What happens if it rains? If we have to cancel for any bad weather there is a full refund. Generally we play it safe and only sail if there is a good chance of clear skies. Usually the weather report improves closer to the date and we will never sail if it is unsafe.    CANCELLATION  Can I reschedule my sail? You are allowed one reschedule 72 hours or before your sailing reservation. No reschedules are allowed within 72 hours of your reservation.    More photos and information at BKsail site or @BrooklynSail","yachting experience ; private sail times ; usg rules ; safety equipment ; champagne, white wine, rose, beer ; hard Seltzer ; "
https://www.airbnb.com/experiences/3671959?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=68bdb554-b339-4041-9694-e5f2c40cf4d7&searchId=885ac543-a5b1-4f6f-96c4-f1449b6fcbc3&sectionId=52cca717-b38f-4c47-9bb5-232dee5f1bfd,Yoga in Central Park with a View Feel the Heartbeat of nyc,26,4.96,115,"Connect with your breath. Connect with the Earth. Connect with each other.â©    Join us for a 1-hour energizing yoga flow.     â©Please Bring: A yoga mat (a few will be available for a $5 rental fee on a first come, first serve basis- please let me know if you need one when you book), water and good attitude.    For the vast majority of our 200,000-year existence as modern humans, we have been nomadic hunters and gatherers, immersed in nature. We co-evolved with nature; we were shaped, influenced, and adapted to interact and resonate with the wild. Being in natureâeven a relaxed walk through a meadow, a hike in the forest, or a yoga class in Central Park âallows us to come back into relationship with our original blueprint, nourishing our senses and our souls with a symphony of stimulus that grounds us firmly in the present moment.    Letâs dedicate an hour to ourselves, to finding our inner nomad, to discovering inner peace while the urban jungle continues to buzz around us","200,000-year existence ; modern humans ; nomadic hunters ; gatherers ; nature ; meadow ; forest ; central park ; inner nomad"
