link,name,price,description,total_rating,number_of_ratings,category,guide_rating,transportation_rating,value_for_money_rating,service_rating,organization_rating,keywords
https://www.getyourguide.com/new-york-city-l59/new-york-city-moulin-rouge-the-musical-broadway-tickets-t295245,NYC: Moulin Rouge! The Musical Broadway Tickets ,58.35,"<p>Pop the champagne, Moulin Rouge! The Musical is the winner of 10 Tony Awards® — including Best Musical!</p><p>
</p><p>Enter a world of splendor and romance, of eye-popping excess, of glitz, grandeur, and glory! A world where Bohemians and aristocrats rub elbows and revel in electrifying enchantment. Welcome to Moulin Rouge! The Musical! Baz Luhrmann’s revolutionary film comes to life onstage, remixed in a new musical mash-up extravaganza. Directed by Tony Award winner Alex Timbers, Moulin Rouge! The Musical is a theatrical celebration of Truth, Beauty, Freedom, and — above all — Love. With a book by Tony Award winner John Logan; music supervision, orchestrations, and arrangements by Tony Award winner Justin Levine; and choreography by Tony Award winner Sonya Tayeh, Moulin Rouge! is more than a musical — it is a state of mind.</p>",4.9,336.0,Entry ticket,,,,,,"moulin rouge! musical ; splendor and romance ; eye-popping excess ; glitz, grandeur ; glory ; musical mash-up extravaganza ;"
https://www.getyourguide.com/new-york-city-l59/statue-of-liberty-ellis-island-ticket-options-with-ferry-t393246,New York City: Statue of Liberty &amp; Ellis Island with Ferry ,29.3,"<p>Hop on board the ferry and enjoy a self-guided tour of the Statue of Liberty and Ellis Island from New Jersey. Visit Liberty Island, explore the Ellis Island Immigration Museum, and learn fascinating facts as you go.</p><p>
</p><p>Begin your experience by departing from Liberty State Park, located in Jersey City, NJ, and easily accessible by car. Once you arrive at the meeting point, bypass the ticket line with your pre-purchased ticket.

Board the ferry and see the impressive views of Lady Liberty and the NYC skyline. Take note of the ferry's return times to plan your day. Your ticket gives you access to explore two attractions: Ellis Island and Liberty Island (with the Statue of Liberty).

</p><p>On arrival to Ellis Island, pick up your multilingual audio guide at the Immigration Museum. Then, explore what was America’s busiest immigration station for over 62 years. Walk in the footsteps of millions of people from all around the globe who passed through here looking for a new beginning and a new life for their families in America.</p><p>
</p><p>With access to the American Family Immigration History Center's records, you can search all ship manifests that came through Ellis Island. Use this unique experience to research your family history.</p><p>
Once you're ready to discover Liberty Island, drop off your audio guide and return to the ferry. Upon arrival on Liberty Island, pick up your multilingual audio guide to start exploring the history of the Statue of Liberty. Children also have the opportunity to enjoy a special narration of this self-guided tour.

When you are finished, return to the ferry and make your way back to your original departure point.
</p>",4.5,7594.0,Entry ticket,,,,,,self-guided tour of the statue of Liberty and Ellis island from new jersey ; immigration museum ; lady liberty ; new york city ; airport ;
https://www.getyourguide.com/new-york-city-l59/skip-the-line-tickets-museum-of-modern-art-t14885,NYC: Museum of Modern Art (MoMA) Entry Ticket ,27.05,"Pre-book your admission and skip the ticket desk to enjoy New York City's Museum of Modern Art (MoMA), one of the world's most visited art museums.

MoMA offers a panoramic overview of modern and contemporary art, from the innovative European painting and sculpture of the 1880s to today's film, design, and performance art.&nbsp;Six floors of art galleries in midtown Manhattan include highlights such as Monet's <em>Water Lilies</em>, Picasso's <em>Les Demoiselles d'Avignon</em>, Matisse's <em>Dance (I)</em>, and Warhol's <em>Campbell's Soup Cans</em>, as well as contemporary work by Elizabeth Murray, Cindy Sherman, Ai Weiwei, and many others.

Current Exhibitions:
Crafting Modernity: Design in Latin America 1940-1980, through September 22
Joan Jonas: Good Night Good Morning, through July 6

Upcoming Exhibitions:
Kathe Kollwitz, on view March 31 through July 20
LaToya Ruby Frazier, on view May 12 through September 7

To help you enjoy the collection better, use the MoMA app or mobile site to listen to free audio guides available for download to your mobile device. Free WiFi is available throughout the museum.

Visitors can also enjoy fantastic dining and shopping options. Three restaurants are available, including The Modern, which has two Michelin Stars. The MoMA Design Store offers a wide selection of books, design objects, jewelry, furniture, clothing, and more.",4.6,5057.0,Entry ticket,,,,,,moma ; new york city's museum of modern art ; panoramic overview ; contemporary art ; european painting ; sculpture ; 1880s ; performance art ; midtown
https://www.getyourguide.com/new-york-city-l59/nyc-one-world-observatory-skip-the-line-ticket-options-t552373,NYC: One World Observatory Skip-the-Line Ticket Options ,39.3,"Skip the ticket line and ascend via SkyPod to the top of the tallest building in the Western Hemisphere in less than 47 seconds. SkyPod provides a thrilling virtual time-lapse visual experience showing how New York City has changed from the 1500s to today.

At the observatory, elevate your senses as you take in the iconic sights, surrounding waters, and panoramas of the Manhattan skyline and beyond from this unique Downtown location. Enjoy unbeatable aerial views of the Statue of Liberty, Brooklyn Bridge, New York Harbor and the 9/11 Memorial.

Engage with Skyline Concierges at City Pulse and learn incredible stories of New York. Step onto the Sky Portal and see real-time life on the streets below you. Surround yourself with the rhythms of the city in the See Forever Theater. Dine or drink at the café, bar, or restaurant.

Upgrade to Combination or All-Inclusive Tickets and enjoy skip-the-line access to the elevators. Access expedited security via the priority security line. The Digital Skyline Guide, an interactive, virtual reality iPad guide to New York City, is also included.

All-inclusive tickets also have the added benefit of a flexible arrival time on your scheduled day to visit.

For the VIP experience, take the Mastercard VIP Guided Tour option which includes an expert guide for an informative and engaging experience. On this 60-90-minute tour of all 3 observatory levels (floors 100-102), your guide will point out famous landmarks while sharing the city's rich history.

The Combination, All-inclusive and VIP Tour tickets include a credit to Drink or Shop. $5 for Combination tickets. $15 for All-inclusive and VIP Tour tickets",4.6,7840.0,Entry ticket,,,,,,sky pod ; virtual time-lapse visual experience ; new york city ; see forever theater ; digital skyline guide ; all-inclusive tickets ; beverage or shop
https://www.getyourguide.com/new-york-city-l59/washington-dc-1-day-tour-from-nyc-with-us-capitol-option-t134490,From New York City: Washington and Philadelphia 1-Day Tour,161.45,"Learn about American history on a tour of Washington DC and Philadelphia, both of which played important roles in the development of democracy in the USA. Visit the Lincoln Memorial, the National Mall, Independence Hall, and more on a guided day trip with roundtrip transfers from NYC.
Your day will begin with an early morning departure from Times Square in Manhattan, where you’ll be greeted by your bilingual tour guide for the day. After 4-5 hours, your first destination will be the nation's current capital, Washington, DC. Once there, visit the Iwo Jima Memorial and the Lincoln Memorial.
During the tour, stop for a classic outside view of the White House, home and office of the U.S. President, and the Capitol Building, home of the U.S. Congress.&nbsp;Your visit to Washington concludes with free time for lunch on your own.

Your next destination, after a 3-hour journey, will be the first-ever U.S. capital, Philadelphia, PA. Visit its historic Old City neighborhood and the Independence National Historical Park where your guide will lead you on a brief walking tour.&nbsp;Then, ascend to the top of the Rocky Steps before returning to Times Square in Manhattan.",4.3,1073.0,Day trip,,,,,,washington dc ; florida ; manhattan ; national mall ; independence hall ; roundtrip transfers ; white house ; u.s.
https://www.getyourguide.com/new-york-city-l59/statue-and-skyline-cruise-aboard-the-luxury-yacht-manhattan-t17115,Manhattan: Statue and Skyline Cruise Aboard a Luxury Yacht ,64.95,"Leave the noise of the city behind and see New York in a new light. Sit back and marvel at the famous skyline from the comfort of a classic boat with an indoor grand salon and open outer deck.

Get up close to The Statue of Liberty and Ellis Island on this sightseeing cruise. As you pass by such important sites at Battery Park, the financial district, and South Street Seaport, your captain will provide an informative narration.

Cruise the Hudson River and New York Harbor on a classic boat that provides turn-of-the-century elegance and comfort, complete with teak decks and mahogany trim.

Settle into the spectacular observatory on the back deck, with comfortable seating around conversation-friendly tables. Tables may be shared with a clear partition divider depending on party size. The observatory is heated in the winter and air-conditioned in the summer, providing panoramic views in the utmost comfort.",4.8,278.0,Water activity,,,,,,classic boat; indoor grand salon and open outer deck; new york harbor ; teak decks ; mahogany trim ; observatory ; conversation-friendly tables 
https://www.getyourguide.com/new-york-city-l59/hallelujah-gospel-wednesday-t461710,NYC: Harlem Hallelujah! Gospel Wednesday Choir ,22.55,"If it is Wednesday, it’s Gospel in Harlem. A 60-minute all gospel music at a historic Black church in Harlem. Known for its ministry and inspirational choirs, the church has opened its doors on Wednesdays to offer a musical worship. This is not a church service but an hour of inspirational gospel and spirituals with choir. Visitors are invited to join in the musical fellowship.

Visit a local church and participate in a mid-week musical fellowship with local congregation and choir. The hour includes gospel and spirituals led by professional singers.",4.6,482.0,Guided tour,,,,,,gospel music at historic black church in harlem ; inspirational choirs ; musical worship ; mid-week musical fellowship ; professional singers
https://www.getyourguide.com/new-york-city-l59/harbor-lights-night-cruise-t108082,NYC: Circle Line Harbor Lights Cruise Skip-The-Box-Office ,48.7,"Experience New York at sunset on a cruise of the harbor, and take in all the sights and lights of Manhattan aboard a climate-controlled boat. Grab your friends, family, and coworkers - or even a random stranger - and embark on an unforgettable journey of the harbor with ""Lady Liberty"" keeping watch.

With a drink in your hand, purchased from the fully stocked bar, feel the breeze on your face and be mesmerized by the shimmering skyline.
Get endless photo opportunities to make you an Instagram star as you sail past legendary attractions such as the Statue of Liberty and get perfect views of the Freedom Tower - One World Trade Center, Empire State Building, Pier 54 (Titanic Pier), Battery Park, and more.

See where millions of immigrants were processed when they arrived in America at Ellis Island, cruise past Governors Island, the South Street Seaport, and Brooklyn Bridge.
Marvel at unrivaled views of the Manhattan Bridge, Williamsburg Bridge, and Chrysler Building, and discover the East Village, United Nations Building, and USS Intrepid Pier from a different perspective.&nbsp;",4.5,2308.0,Water activity,,,,,,"cruise ; new york city aboard climate-controlled boat ; ""Lady Liberty"" ; photo opportunities ; twitter star ; american flags ; state capitol"
https://www.getyourguide.com/new-york-city-l59/nyc-city-climb-skyscraping-experience-ticket-t421270,NYC: City Climb Skyscraping Experience Ticket ,181.7,"Experience City Climb, the highest open-air building ascent in the world, and test your limits as you see New York City in a whole new way. Scale the outside of a skyscraper more than 1,200 feet (366 meters) above the ground, then lean out and look down from the highest outdoor platform in New York City.

Suit up and meet your climb guide who will escort you throughout the experience and ensure you are safe and comfortable in your climbsuit. Feel the anticipation as you enter base camp. Harness up and connect to the rail that will keep you firmly attached to the building for the duration of the climb.

Then, feel the rush as you start your climb on the 45-degree angle staircase. Nothing can prepare you for the feeling of being in the open air over New York City at a height of 1,200 feet. With your adrenaline pumping and your heart racing, dare to peer over the edge and see the iconic city below.

After your once-in-a-lifetime experience, get back down to earth, after which you will be provided with details of your video souvenir documenting your climb. Digital photos of your experience are also available for purchase.",4.7,190.0,,,,,,,"experience city climb, the highest open-air building ascent in the world ; climb guide ; base camp ; 45-degree angle staircase ; adrenaline ; heart racing ; video souvenir ;"
https://www.getyourguide.com/new-york-city-l59/early-access-statue-of-liberty-ellis-island-pedestal-t51626,NYC: Statue of Liberty and Ellis Island Guided Tour ,49.8,"Begin your Statue of Liberty tour at Battery Park, the historical gateway to Liberty Island.

Your guide will share a bit of Manhattan history with you in Battery Park before boarding the ferry with your small group to sail away from Manhattan to greet the Statue of Liberty.

Once on Liberty Island, your guide will dive deep into the story of how Lady Liberty came to be. As you tour the island, your guide—an expert in setting the stage, creating the scene, and invoking your imagination—will share the incredible historical facts that fuel your understanding of just how important this monument truly is. Take in beautiful views of the famed New York skyline, the Brooklyn Bridge, and the surrounding environs. Wander through the Statue of Liberty Museum and stand mere feet from Lady Liberty’s original torch!

After the Statue of Liberty, board the short ferry to Ellis Island—another mammoth site in the history of the United States. Your guide will set the tone with a brief introduction and provide recommendations on how to get the most from your visit. Then you can explore this special place at your own pace.

Knowing how touching Ellis Island can be, we give everyone time to wander the site, enjoy the official audio guide, search the passenger records for family names, or pause for a quick bite to eat at the popular cafeteria. You are also welcome to return on the ferry with your guide.",4.7,1727.0,Guided tour,,,,,,"battery park, historical gateway to liberty island ; manhattan history ; new york skyline ; new york bridge ; entourage ; official audio guide ; passenger records ; cafeteria ;"
https://www.getyourguide.com/new-york-city-l59/nyc-the-lion-king-broadway-tickets-t20493,NYC: The Lion King Broadway Tickets ,119.8,"Marvel in the spectacular presentation of Disney’s The Lion King featuring Oscar-winning songs from Elton John and Tim Rice. Take in the wonderful African landscape as you follow the journey of Simba and his family.

Watch giraffes strut, birds swoop, and gazelles leap in a theater filled with sights and sounds designed by Tony Award-winning director Julie Taynor. Experience the entire savanna come to life as the music soars and Pride Rock slowly rises out of the stage.

Follow the story of a young lion cub who struggles to accept the responsibilities of his role as king of the pride. The Lion King is the winner of six Tony&nbsp;Awards,&nbsp;and is the stage adaptation of the classic 1994 Disney film.&nbsp;Enjoy the rich mythology, powerful drama, and African rhythms of this cherished story on New York City's famous Broadway.",4.9,1312.0,Entry ticket,,,,,,the lion queen ; african landscape ; giraffes ; birds ; gazelles ; theater ; pride rock ; young lion cub ;
https://www.getyourguide.com/new-york-city-l59/new-york-city-riseny-experience-ticket-t369796,New York City: RiseNY Experience Ticket ,43.2,"Prepare to experience New York City through its' history in a riveting and immersive way. Start with a captivating film by award-winning documentarian Ric Burns that takes you back in time. Learn about how multiple cultures and industries helped shape the city that never sleeps.

Then, explore museum-style galleries that transport you through the city’s expansive pop-culture evolution. The galleries showcase items from TV, Broadway, music, and fashion.

Finally, take to the virtual skies and fly over the iconic skyline on a multi-sensory soaring ride. Be suspended 30 feet in the air and get ready to fall in love with New York all over again. Feel the rush of wind in your hair as you fly over the world’s most stunning architecture, dangle your feet over the changing leaves of autumn in Central Park, inhale the fresh pine scents of NYC's iconic Holiday season, and feel exhilarated as you become part of the Times Square Ball Drop on New Year’s Eve.",4.7,314.0,Entry ticket,,,,,,"new york city ; museum-style galleries ; pop-culture evolution ; television, Broadway ; music ; fashion ; virtual skies ; autumn ; central park ; pine scents"
https://www.getyourguide.com/new-york-city-l59/new-york-full-island-cruise-of-manhattan-t679,NYC: Circle Line Best of NYC Skip-The-Box-Office Cruise ,46.9,"Enjoy a relaxing cruise of New York Harbor and Manhattan Island as you discover the secrets of the city. You will circle Manhattan, passing 3 rivers, 7 major bridges – including the world-famous Brooklyn Bridge – 5 boroughs, and more than 101 sights in New York’s legendary skyline.

Get up close to the Statue of Liberty and see Manhattan just as the great explorers would have seen it at the end of their long ocean journeys. Tour the city by water and see the outer boroughs drift by. Fun and knowledgeable tour guides will bring the city that never sleeps to life, telling fascinating stories about the breathtaking sights as you sail.

See it all as you marvel at the best that New York has to offer. Cruise highlights include close-up views of the Statue of Liberty, Randall’s Island, High Bridge, Columbia University, Harlem, Gracie Mansion, South Street Seaport, Brooklyn Bridge, Yankee Stadium, The Cloisters, Grant’s Tomb, and The Little Red Lighthouse.",4.5,2001.0,Water activity,,,,,,cruise
