(2024-06-27 - 2024-06-30)
50,Alpaca Farm Holiday,200 CHF 
51,Stay with Laura,45 CHF 
52,pretty 2 1/2 room attic,100 CHF 
53,"Mini-Studio 1  Pers. in Villa, next main station",200 CHF 
54,Stay with Sonja,81 CHF 
55,Central apartment with balcony,119 CHF 
56,charming duplex apartment,91 CHF 
57,Stay with Valentino,58 CHF 
58,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",146 CHF 
59,Huge apartment in Herisau,128 CHF 
60,Stay with Ruth,69 CHF 
61,Stay with Gabriele,63 CHF 
62,Stay with Heinz,42 CHF 
63,Small but exquisite in Rorschach (non-smoking apartment),94 CHF 
64,Stay with Ulrich,53 CHF 
65,Paradise at the border triangle & Free parking,145 CHF 
66,5★LuxuryApartment★Free Parking★Netflix★near City,365 CHF 
67,3 room apartment,135 CHF 
68,Stay with Maya,104 CHF 
69,Central 3 1/2 large apartment 2nd floor,265 CHF 
70,Charming apartment in Rotmonten,159 CHF 
71,Place for a break in the countryside,115 CHF 
72,Leimathof Apartment type I,218 CHF 
73,Entire apartment right in old Arbon old town,94 CHF 
74,Stay with Daniel,52 CHF 
75,Cosy loft in a converted building,152 CHF 
76,Our flat suitable for accommodation,134 CHF 
77,Charming holiday home in a fantastic location,148 CHF 
78,s' Höckli - Appenzeller Chalet with lake view,175 CHF 
79,Stay with Ulrich,57 CHF 
80,Dreamlike family holidays in country house,518 CHF 
81,Panorama attic loft,63 CHF 
82,Stay with Elisabeth,88 CHF 
83,Cozy small 1 room apartment in Heiden,77 CHF 
84,Stay with Markus,146 CHF 
85,5★2BR City-Apartment★Free Parking★Netflix,291 CHF 
86,Stay with Anton Verena,80 CHF 
87,Stay with Luca,60 CHF 
88,Vacation home *Waschhüsli* very charming with lake view,197 CHF 
89,Stay with Esther,75 CHF 
90,Home at Henry,162 CHF 
91,InnJoy - Executive Oasis & Dusche,354 CHF 
92,Stay with Markus,146 CHF 
93,Beautiful studio right on Lake Constance ( A ),107 CHF 
94,InnJoy - Wanderlust & Shower,427 CHF 
95,Stay with Markus,146 CHF 
96,Stay with Ruth,69 CHF 
97,Wellnessoase,296 CHF 
98,"Completely newly renovated, homely apartment",115 CHF 
99,Stay with Nazim,106 CHF 
100,Vogelnest,83 CHF 
(2024-10-10 - 2024-10-20)
ID,House Name,Price per Night
1,Cosy central  1-room studio at Gertrud Schlössli,54 CHF 
2,Studio with charm and views,58 CHF 
3,Studio with a panoramic view,58 CHF 
4,For patience,87 CHF 
5,Newly furnished beautiful apartment in the center *AppleTV*,106 CHF 
6,Sky-Town Apartment,111 CHF 
7,Spacious apartment in the city,147 CHF 
8,"2.5 rooms with balcony near Spital, Uni",96 CHF 
9,tiny flat,93 CHF 
10,TouchBed | Budget Studio,101 CHF 
11,1 room apartment without a kitchen right in the center,75 CHF 
12,2. New apartment 2 min from station,139 CHF 
13,"2.5 rooms, modern, quiet and close to the center",124 CHF 
14,"quiet, new attic apartment on the old town, near Messe",114 CHF 
15,"Close to theater, Olma, university, city center",134 CHF 
16,Charming Art Nouveau apartment,88 CHF 
17,Modern attic apartment close HSG University & OLMA,107 CHF 
18,Core renovated apartment near train station and center,130 CHF 
19,Eco-friendly rooftop apart. St. Gallen center,241 CHF 
20,"Beautiful, bright, large apartment with balcony *SmartTV",122 CHF 
21,Unique location with views all over the city,145 CHF 
22,"2 rooms with balcony, Netflix and rental bikes",99 CHF 
23,Stay with Heinz,81 CHF 
24,Stay with Erola,41 CHF 
25,1.New apartment  2 min from station,139 CHF 
26,Cozy & Large*Newly renovated apartment*SmartTV,128 CHF 
27,Cresta Apartment,147 CHF 
28,TouchBed | Large 3-BR-Apartment Ground Floor,277 CHF 
29,Bright apartment via St.Gallen,102 CHF 
30,Schönes Studio in St. Gallen,68 CHF 
31,simple flat,87 CHF 
32,Stay with Dijana,43 CHF 
33,GöttiFritz - 360Grad Views with Breakfast,187 CHF 
34,"Private 2.5 room WHG with balcony, Mama Home W33",103 CHF 
35,Beautiful 2 1/2 room attic,98 CHF 
36,Studio Trailalps: near St. Gallen,66 CHF 
37,Studio/Loft in the countryside Individual Old House,126 CHF 
38,2-Room-Apartment near HSG,87 CHF 
39,TouchBed | Apartment,162 CHF 
40,cozy attic apartment,97 CHF 
41,2.5 room attic apartment with patio,121 CHF 
42,"Modern, high quality studio",61 CHF 
43,Stay with Erola,45 CHF 
44,Exclusive mini villa with plenty of space,190 CHF 
45,TouchBed | Budget Apartment,146 CHF 
46,Bijou in the city of St.Gallen,138 CHF 
47,Nice apartment in the center of Herisau up to 6 guests,165 CHF 
48,Charming apartment near the lake,73 CHF 
49,Stay with Varathapandi,36 CHF 
50,Charming apartment in the center of Goldach,73 CHF 
51,Stay with Nino,82 CHF 
52,"Top break, cottage with a mountain view",129 CHF 
53,*Vacation Rental 2 Seesitz*,100 CHF 
54,Beautiful Art Nouveau apartment near Olma and University,214 CHF 
55,Stay with Katharina,51 CHF 
56,TouchBed | Superior Studio,128 CHF 
57,Big 1 bed apartm. super central,76 CHF 
58,Garden studio in Appenzellerhaus,67 CHF 
59,2. Charming apartment near lakes,68 CHF 
60,Fantastic house near Lake Constance,92 CHF 
61,TouchBed | budget double room,84 CHF 
62,Stylish 2.5-room apartment,125 CHF 
63,Leimathof attic apartment,234 CHF 
64,Stay with Erola,41 CHF 
65,special apartment in Goldach,75 CHF 
66,Entire apartment right in old Arbon old town,61 CHF 
67,Large apartment with roof terrace and lake view,154 CHF 
68,Quiet beautiful furnished flat,66 CHF 
69,"Luxury apartment with terrace and garden, free par",224 CHF 
70,Huge apartment in Herisau,83 CHF 
71,Stay with Mama Home,105 CHF 
72,St. Gallen is nice,43 CHF 
73,Lovely studio,75 CHF 
74,habu apartments bei OLMA % cosy stay,206 CHF 
75,Stay with Andy,76 CHF 
76,Ferienhaus Sennastübli,107 CHF 
77,Airy studio @sunehus.ch,92 CHF 
78,Unique lakefront location with endless views,179 CHF 
79,Stay with Katharina,51 CHF 
80,2-room - Studio - very central city,93 CHF 
81,*Apartment 5 Seeruhe*,121 CHF 
82,"Modern, high quality studio",91 CHF 
83,Cozy apartment with terrace in peacocks,110 CHF 
84,peaceful tiny house near forest,107 CHF 
85,Stay with Erola,43 CHF 
86,3.5 Room Apartment - close to center,104 CHF 
87,"Bungalow with a
Dream View LOMA BUENA VISTA",119 CHF 
88,charming flat in a typical appenzellerhouse,78 CHF 
89,Tas24 Travel and Sleep,77 CHF 
90,Beautiful terraced-family house,89 CHF 
91,Apartment small but nice,77 CHF 
92,Stay with Franziska,65 CHF 
93,Stay with Yunus,58 CHF 
94,A bed in the basement/ storage room,33 CHF 
95,Stay with Anna,46 CHF 
96,3 room apartment,105 CHF 
97,Holiday enjoyment in Appenzellerland,144 CHF 
98,Paradise at the border triangle & Free parking,106 CHF 
99,*Apartment 1 Ruhepol*,100 CHF 
100,Stay with Varathapandi,54 CHF 
